,org_id,year,total_donated_sum,total_donated_median,total_donated_mean,total_donated_var,total_donated_min,total_donated_max,total_pledged_sum,total_pledged_median,total_pledged_mean,total_pledged_var,total_pledged_min,total_pledged_max
72,MICH,2021,15613261.710000005,0.0,1268.0306757086012,218803478.62763864,0.0,1000000.0,39380806.13,400.0,3198.3112263461376,1950825631.4801927,0.0,4341000.0
73,MICH,2022,742217.4,0.0,2016.8951086956517,72173852.23518041,0.0,75000.0,12651011.410000002,10000.0,34377.74839673914,53204432578.683945,0.0,4275000.0
74,MICH,2023,295765.22,0.0,1169.032490118577,38517210.57151319,0.0,50000.0,10946317.38,10000.0,43266.07660079051,76743861993.69824,0.0,4275000.0
75,MSSTATE,2016,22905784.98999993,600.0,2974.0048026486543,171445477.76910922,0.0,522461.73,23456229.50999993,600.0,3045.472540898458,174316480.53890514,0.0,522461.73
76,MSSTATE,2017,22992972.22999998,600.0,2923.454828989191,211939580.82568443,0.0,578720.01,23459946.26999998,600.0,2982.8285149396033,213589247.33808535,0.0,578720.01
77,NCSU,2001,6463473.420000003,200.0,520.4084879227055,1911685.8721916715,10.0,63093.15,6462473.420000003,200.0,520.3279726247989,1911350.960883241,10.0,63093.15
78,NCSU,2002,6621944.280000005,250.0,543.4950984898231,1705983.5837478368,5.0,47095.01,6620344.280000005,250.0,543.3637787261987,1705686.7746042428,5.0,47095.01
79,NCSU,2003,7656401.260000005,250.0,559.8421512138057,1964582.2253708532,5.0,66147.53,7653709.300000005,250.0,559.6453129570053,1964305.9651318446,5.0,66147.53
80,NCSU,2004,8874174.029999997,300.0,622.0942187171397,1884002.93414553,0.0,40000.0,8876714.029999997,300.0,622.272276901507,1884150.9788104868,10.0,40000.0
81,NCSU,2005,9233677.670000007,300.0,678.7971528339342,2517606.748502038,5.0,50000.0,9234035.670000007,300.0,678.8234705579657,2517653.4098619027,5.0,50000.0
82,NCSU,2006,9490746.37,300.0,680.340241577061,2423790.58919574,5.0,42000.0,9490236.37,300.0,680.303682437276,2423779.880786625,5.0,42000.0
83,NCSU,2007,9948174.65,300.0,692.7215827588608,2958418.774385552,5.0,73800.0,9948174.65,300.0,692.7215827588608,2958418.774385552,5.0,73800.0
84,NCSU,2008,9995007.77,300.0,669.1890579807177,2883004.3819090505,5.0,51745.52,9993417.77,300.0,669.0826037761116,2882933.819601873,5.0,51745.52
85,NCSU,2009,9757976.880000006,300.0,599.0531573454482,2127082.263487704,5.0,50000.0,9754646.880000006,300.0,598.8487249063791,2126654.0230203667,0.0,50000.0
86,NCSU,2010,9417987.250000004,300.0,716.3601772267439,2783460.6700750967,10.0,50000.0,9416453.250000004,300.0,716.2434966151976,2783069.696245475,10.0,50000.0
87,NCSU,2011,10279975.829999998,300.0,779.494679253867,21738428.69033471,5.0,500000.0,10279662.829999998,300.0,779.4709455565663,21738444.006509647,5.0,500000.0
88,NCSU,2012,10982173.87,360.0,809.2980007369196,4348157.663029511,0.0,100000.0,10982383.87,360.0,809.3134760501105,4348134.668821379,5.04,100000.0
89,NCSU,2013,11510171.899999995,360.0,814.3605419555679,3631156.773857945,5.0,100000.0,11511231.899999995,360.0,814.4355384179988,3631222.1156930025,5.0,100000.0
90,NCSU,2014,11916016.560000002,360.0,852.6666590339894,4323761.735338511,10.0,100000.0,11914480.560000002,360.0,852.5567484794278,4323265.148473862,10.0,100000.0
91,NCSU,2015,12187401.689999953,360.0,875.5317306034448,4270001.467291972,5.0,100000.0,12187401.689999953,360.0,875.5317306034448,4270001.467291972,5.0,100000.0
92,NCSU,2016,12271863.389999915,360.0,902.4092499448427,4343777.669854793,5.0,100000.0,12272823.949999915,360.0,902.4798845503284,4343778.59961648,5.0,100000.0
93,NCSU,2017,12588289.069999967,360.0,965.7298864595296,5074102.5856153965,0.0,100000.0,12592092.169999968,360.0,966.0216471039483,5073945.484873719,5.0,100000.0
94,NCSU,2018,13022552.82999998,360.0,1061.2462578436948,10323562.710064024,0.0,257200.0,13092499.449999982,375.0,1066.9464143101607,10328617.438974852,5.0,257200.0
95,NCSU,2019,12691076.629999995,400.0,1080.4594440660646,5382235.898510219,0.0,75000.0,12853844.349999996,404.0,1094.3167333560357,5386300.585816061,5.0,75000.0
96,NCSU,2020,11411184.31999999,432.0,1118.7435607843126,4649634.316017324,0.0,50089.0,11998854.779999984,500.0,1176.3583117647045,4734074.754287004,10.0,50089.0
97,NCSU,2021,5910852.720000005,500.0,1069.8375963800916,3405037.6096410323,0.0,50000.0,6952362.880000005,605.0,1258.3462226244353,4230301.155031385,12.0,50000.0
98,NEBRASKA,2019,24677.15,400.0,1175.102380952381,5689525.220119048,0.0,11177.15,25677.15,500.0,1222.7214285714285,5619634.029642859,100.0,11177.15
99,NEBRASKA,2020,19272284.04,500.0,3287.6636028659163,1184667260.1096535,0.0,1500000.0,19703814.57,500.0,3361.2785005117707,1186166423.788216,-11573.33,1500000.0
100,NEBRASKA,2021,36566781.14,500.0,2174.3938359992867,89341459.03915736,0.0,520350.0,49774591.39,600.0,2959.7782832847715,1906025215.9678788,0.0,5185800.0
101,OKLAHOMA,2018,34615581.35000002,1000.0,3067.397549844929,60996797.18594472,100.0,202665.0,34597156.35000002,1000.0,3065.7648515728856,60978190.34371207,-500.0,202665.0
102,OKLAHOMA,2019,47458809.2,1000.0,4338.89277747303,343714513.36403745,0.0,927250.0,47566532.54000001,1000.0,4348.741318339734,344336460.7026987,50.0,927250.0
103,OKLAHOMA,2020,41939156.33000001,1500.0,7316.670678646199,765106307.2094009,0.0,1029188.76,42975404.03000001,1600.0,7497.4535990928125,782572180.4461899,0.0,1029188.76
104,OKLAHOMA,2021,39729052.52999997,500.0,3230.5295600910686,134138947.4688583,0.0,397313.0,67438384.53000006,1533.8,5483.687146690524,371945118.18946177,50.0,1147313.0
105,TAM,1999,38250.0,250.0,251.6447368421053,411.18421052631584,250.0,500.0,38250.0,250.0,251.6447368421053,411.18421052631584,250.0,500.0
106,TAM,2000,48250.0,250.0,252.6178010471204,651.0057867181044,250.0,500.0,48250.0,250.0,252.6178010471204,651.0057867181044,250.0,500.0
107,TAM,2001,57250.0,250.0,253.31858407079642,822.2713864306786,250.0,500.0,57250.0,250.0,253.31858407079642,822.2713864306786,250.0,500.0
108,TAM,2002,66000.0,250.0,252.8735632183908,712.8647214854112,250.0,500.0,66000.0,250.0,252.8735632183908,712.8647214854112,250.0,500.0
109,TAM,2003,73000.0,250.0,253.47222222222226,858.9818041037555,250.0,500.0,73000.0,250.0,253.47222222222226,858.9818041037555,250.0,500.0
110,TAM,2004,84000.0,250.0,256.09756097560984,1491.7580368464232,250.0,500.0,84000.0,250.0,256.09756097560984,1491.7580368464232,250.0,500.0
111,TAM,2005,165023.0,500.0,475.5706051873199,20288.829538072,1.0,1000.0,165023.0,500.0,475.5706051873199,20288.829538072,1.0,1000.0
112,TAM,2006,168627.0,500.0,371.42511013215864,58758.9954828797,1.0,1000.0,168627.0,500.0,371.42511013215864,58758.9954828797,1.0,1000.0
113,TAM,2007,225192.0,500.0,407.9565217391304,119113.69683579268,1.0,1000.0,225192.0,500.0,407.9565217391304,119113.69683579268,1.0,1000.0
114,TAM,2008,181810.0,132.0,216.44047619047618,54736.699670809794,1.0,1000.0,181738.0,132.0,216.35476190476192,54752.90140757138,0.0,1000.0
115,TAM,2009,237091.0,144.0,257.7076086956522,57038.70766783369,1.0,1000.0,237019.0,144.0,257.629347826087,57069.68074821398,1.0,1000.0
116,TAM,2010,237834.0,144.0,262.2205071664829,55944.375163980985,1.0,1000.0,237834.0,144.0,262.2205071664829,55944.375163980985,1.0,1000.0
117,TAM,2011,208595.0,144.0,246.56619385342793,57447.687329164735,1.0,1000.0,208595.0,144.0,246.56619385342793,57447.687329164735,1.0,1000.0
118,TAM,2012,241077.0,108.0,191.1792228390166,45708.371028284455,1.0,1000.0,241077.0,108.0,191.1792228390166,45708.371028284455,1.0,1000.0
119,TAM,2013,21600995.750000007,305.0,1197.8592441634785,7041971.482626401,1.0,93500.0,21551449.920000013,305.0,1195.1117351522216,6976925.109297495,0.0,93500.0
120,TAM,2014,52949655.81999992,350.0,1474.0585122908585,19129207.501537967,0.0,197961.47,52823991.24999996,348.0,1470.5601528353875,19283114.25444077,0.0,197961.47
121,TAM,2015,46829109.03,200.0,2531.1663710069724,84801638.49458249,0.0,397299.0,46802995.59000001,200.0,2529.754910004865,84719612.28797525,0.0,397299.0
122,TAM,2016,44666750.46999999,200.0,2279.0321174549717,66079903.61224505,0.0,273541.3,44690350.48999999,200.0,2280.236261543956,66075752.10112122,1.0,273541.3
123,TAM,2017,44227630.63999999,150.0,2222.494002010049,61793309.60601964,1.0,256650.0,44243702.79999999,150.0,2223.301648241205,61776624.39371171,0.0,256650.0
124,TAM,2018,45604464.51000018,200.0,2439.785176011137,74216123.22863613,0.0,334799.34,66673549.15000039,200.0,3566.956406484078,21518766946.4874,0.0,20000000.0
125,TAM,2019,48859661.25000003,150.0,2284.7632101940626,59883926.68656627,0.0,287465.0,48708711.72000004,150.0,2277.704546177229,59625143.65318945,0.0,287465.0
126,TAM,2020,44964489.959999934,500.0,3353.806963526511,134963421.7873836,0.0,478222.63,45124706.19999993,502.84,3365.757156709177,136542839.05044982,0.0,478222.63
127,TAM,2021,37923125.76000007,998.39,3907.989051937353,94504945.80947526,0.0,244174.29,43998776.45999999,1025.2,4534.086609645506,201770970.79458192,0.0,775600.0
128,TAM,2022,295.0,1.0,1.0,0.0,1.0,1.0,295.0,1.0,1.0,0.0,1.0,1.0
129,TAM,2023,240.0,1.0,1.00418410041841,0.0041841004184100415,1.0,2.0,240.0,1.0,1.00418410041841,0.0041841004184100415,1.0,2.0
130,USC,2014,25666365.979999997,3000.0,5005.14157176287,46318381.90330465,0.0,96200.0,24980394.68999999,3000.0,4871.371819422775,43057444.68856412,0.0,96200.0
131,USC,2015,26089356.009999976,3000.0,4843.021349545197,44638300.82175693,0.0,96200.0,25768046.529999986,3000.0,4783.3760033413755,43611421.19768317,0.0,96200.0
132,USC,2016,25579209.11000001,3000.0,4625.535101265825,45592533.68881101,0.0,103200.0,25941533.57000001,3000.0,4691.054895117542,45641695.42523794,0.0,103200.0
133,USC,2017,26952673.00000003,3000.0,4656.647028334491,49645149.86589356,0.0,103200.0,27371619.09000001,3000.0,4729.0288683483095,49535745.03690376,0.0,103200.0
134,USC,2018,27091649.84999998,1000.0,3517.9392091936083,43009262.04670449,0.0,103200.0,26847424.26,1000.0,3486.225718737826,42530118.21731887,0.0,103200.0
135,USC,2019,31243304.73999999,1000.0,4012.2389546680347,111572049.78517967,0.0,230000.0,31420447.43,1000.0,4034.987470142545,111672338.53422014,0.0,230000.0
136,USC,2020,145292.11000000002,224.995,1513.4594791666668,20678170.898722887,0.0,40000.0,243593.32,200.0,2537.4304166666666,118314501.08165878,0.0,100000.0
137,USC,2021,27134182.370000005,416.65,3753.518103472127,263716959.50872192,0.0,460000.0,33858975.0,1000.0,4683.770231013971,278786960.11584973,0.0,460000.0
