,org_id,year,paymentamount_sum,paymentamount_mean,paymentamount_median,paymentamount_min,paymentamount_max,paymentamount_var,paymentamount_size
126,USC,2015,97632384.93,12699.321661030175,3000.0,-10000.0,10000000.0,25400292830.025955,7688
127,USC,2016,125528895.45999992,13639.997333478206,504.0,-328910.0,10000000.0,32649636300.35935,9203
128,USC,2017,229937118.51999968,24082.228583996617,937.86,-988000.0,15092242.68,72803089418.28242,9548
129,USC,2018,145844981.88000008,12872.46088967344,600.0,-71334.0,10151913.9,29487080319.859226,11330
130,USC,2019,145264192.77999994,13524.270810911456,600.0,-48000.0,4094520.0,19271422658.756653,10741
131,USC,2020,74247320.91000007,7918.025051722308,400.0,-123985.87000000002,6000000.0,10361756142.0988,9377
132,USC,2021,12805016.059999973,3339.8581272822053,111.15,-100000.0,2000000.0,3273296822.529107,3834
133,UT-A,2015,44960853.65000001,1336.3706351801216,0.0,-21187.5,900000.0,107326356.65492928,33644
134,UT-A,2016,47653077.17,2920.0978718058695,500.0,-37500.0,1174280.0,301752425.96513087,16319
135,UT-A,2017,57526638.41,3758.682679516498,550.0,-4000.0,1290114.61,444004954.0305901,15305
136,UT-A,2018,50440062.71,2755.384175133836,213.5,-23100.0,2700000.0,867828036.4874535,18306
137,UT-A,2019,82168920.46999998,4119.775405866131,380.0,-100.0,6500000.0,4562045458.801335,19945
138,UT-A,2020,71699492.04,3995.0683702011493,61.0,-36000.0,13000000.0,11642129577.879984,17947
139,UT-A,2021,34191509.010000005,6546.335249856405,152.0,-15710.63,10021766.5,24838076238.106712,5223
140,WASHINGTON,2015,89674143.19999999,6112.3402085747375,600.0,0.0,9822800.0,9534511428.777962,14671
141,WASHINGTON,2016,78128877.74000002,5773.638615134499,600.0,-200.0,5650560.000000001,4718706155.783609,13532
142,WASHINGTON,2017,399297483.7599998,26281.674702823657,1200.0,-500.0,59757864.98,425978384491.9197,15193
143,WASHINGTON,2018,137321477.04,17931.767699138156,4000.0,-75000.0,11258663.2,43506710386.16213,7658
144,WASHINGTON,2019,129170194.50000007,17588.534109477136,2600.0,-5000.0,19898786.3,80753525641.17609,7344
145,WASHINGTON,2020,86691597.76000004,7166.964100529103,1040.0,-101038.0,21021876.66,40912873932.018486,12096
146,WASHINGTON,2021,6864663.770000017,1149.6673538770756,0.0,-50000.0,434349.0,98202063.50715952,5971
